"Category","Count","Votes","Region Proposal"
"handle",34,1,
"handrail",103,1,
"hanger",333,1,
"hanging clothes",205,1,
"hat",107,1,
"hatch",3,1,
"hats",1,1,
"headboard",7,1,
"headphones",9,1,
"headset",1,1,
"hearth",12,1,
"heater",227,1,
"heater piping",13,1,
"hi-hat",1,1,
"hi-hat stand",1,1,
"high shelf",10,1,
"highchair",8,1,
"holder",6,1,
"hole puncher",1,1,
"holy cross",18,1,
"hook",17,1,
"hose",27,1,
"hot water/cold water knob",14,1,
"hourglass",1,1,
"hoverboard",1,1,
"hunting trophy",22,1,
"hutch",2,1,
"ice maker",2,1,
"icebox",2,1,
"identifier",13,1,
"information",3,1,
"installation",2,1,
"instrument",1,1,
"iron",13,1,
"iron board",10,1,
"ironing board",34,1,
"island",7,1,
"jacket",41,1,
"jacuzzi",2,1,
"jar",176,1,
"jars",2,1,
"jewelry",48,1,
"jewelry box",17,1,"bedroom"
"jug",19,1,
"junk",2,1,
"keg",3,1,
"kettle",66,1,
"keyboard",103,1,
"keyboard box",1,1,
"keyboard cover",1,1,
"keyboard piano",7,1,
"keyboard stand",2,1,
"keys",19,1,
"kitchen appliance",219,1,"kitchen"
"kitchen cabinet",1185,1,"kitchen"
"kitchen cabinet door",21,1,"kitchen"
"kitchen cabinet drawer",14,1,"kitchen"
"kitchen cabinet lower",27,1,"kitchen"
"kitchen ceiling",1,1,"kitchen"
"kitchen chair",8,1,"kitchen"
"kitchen counter",151,1,"kitchen"
"kitchen counter item",4,1,"kitchen"
"kitchen counter support",1,1,"kitchen"
"kitchen countertop item",123,1,"kitchen"
"kitchen countertop items",28,1,"kitchen"
"kitchen decoration",48,1,"kitchen"
"kitchen extractor",22,1,"kitchen"
"kitchen gloves",1,1,"kitchen"
"kitchen handle",4,1,"kitchen"
"kitchen island",49,1,"kitchen"
"kitchen knife set",1,1,"kitchen"
"kitchen lower cabinet",211,1,"kitchen"
"kitchen lower shelf",1,1,"kitchen"
"kitchen seating",1,1,"kitchen"
"kitchen shelf",46,1,"kitchen"
"kitchen sink",2,1,"kitchen"
"kitchen sink cabinet",1,1,"kitchen"
"kitchen table",14,1,"kitchen"
"kitchen top",37,1,"kitchen"
"kitchen towel",1,1,"kitchen"
"kitchen utensil",147,1,"kitchen"
"kitchen utensils",2,1,"kitchen"
"kitchen wall",27,1,"kitchen"
"kitchenware",4,1,"kitchen"
"knife",21,1,
"knife holder",46,1,"kitchen"
"knife set",4,1,"kitchen"
"knife stand",1,1,
"knob",26,1,
"l-shaped sofa",22,1,"living room"
"lace doily",18,1,
"ladder",69,1,
"lamp",3571,1,
"lamp shade",1,1,
"lamp stand",11,1,
"lamp table",19,1,
"lampshade",25,1,
"landing",5,1,
"lantern",1,1,
"laptop",70,1,"office"
"laundry",4,1,
"laundry bag",6,1,
"laundry basket",73,1,
"laundry machine",48,1,
"lawn",3,1,
"lawn mower",2,1,
"leaflets",4,1,
"led tv",39,1,
"ledge",28,1,
"leg rest",2,1,
"level",1,1,
"lid",8,1,
"light",53,1,
"light fixture",268,1,
"light switch",22,1,
"lighter",1,1,
"lighting fixture",9,1,
"liquid",2,1,
"liquid cleaner",2,1,
"liquid container",1,1,
"liquid soap",114,1,
"locker",16,1,
"lounge chair",15,1,
"lounger",9,1,
"lower cabinet",2,1,
"luggage",31,1,
"machine",52,1,
"magazine",112,1,
"magazine rack",1,1,
"magazines",55,1,
"magic marker",4,1,
"magic marker box",2,1,
"mail",1,1,
"mailbox",1,1,
"makeup accessories",1,1,
"mannequin",3,1,
"mantel",3,1,
"mantle",7,1,
"map",8,1,
"mascot",18,1,
"mascots",3,1,
"massage bed",7,1,
"mat",142,1,
"material",2,1,
"measuring tape",2,1,
"medal",2,1,
"medal collection",1,1,
"media console",13,1,
"medical lamp",2,1,
"medical object",1,1,
"menu",4,1,
"menu board",4,1,
"meshwork",1,1,
"meter",1,1,
"microphone",1,1,
"microphone accessory",1,1,
"microwave",174,1,
"mini fridge",16,1,
"mirror",1242,1,
"mirror /otherroom",1,1,
"mirror door",8,1,
"mirror frame",79,1,
"mixer",10,1,
"mobile",1,1,
"model",1,1,
"modem",1,1,
"molding",10,1,
"monitor",156,1,
"moose head/sculpture/hunting trophy",3,1,
"mop",18,1,
"mortar",3,1,
"motion detector",14,1,
"motorcycle",1,1,
"mouse",35,1,
"mousepad",1,1,
"mug",20,1,
"music album shelf",1,1,
"music equipment",1,1,
"music equipment stand",5,1,
"music player",11,1,
"napkin",7,1,
"napkins",3,1,
"newspaper",43,1,
"newspaper basket",6,1,
"niche",9,1,
"night lamp",1,1,
"nightstand",284,1,"bedroom"
"note",28,1,
"note board",2,1,
"notebook",8,1,
"notebooks",1,1,
"notes",29,1,
"oar",1,1,
"object",24,1,
"objects",4,1,
"office chair",62,1,"office"
"office table",5,1,"office"
"office wall",1,1,"office"
"oil lamp",10,1,
"ornament",302,1,
"ottoman",33,1,
"outlet",13,1,
"oven",136,1,"kitchen"
"oven and stove",67,1,"kitchen"
"oven vent",3,1,
"overhang",1,1,
"package",1,1,
"pad",46,1,
"painting",1088,1,
"painting /otherroom",1,1,
"painting frame",10,1,
"painting roll",1,1,
"painting rolls",1,1,
"painting stuff",1,1,
"painting tray",1,1,
"pan",8,1,
"panel",21,1,
"panel screen",4,1,
"paneling",40,1,
"pantry",1,1,
"paper",124,1,
"paper holder",2,1,
"paper storage",15,1,
"paper towel",113,1,
"paper towel dispenser",10,1,
"paper towel holder",2,1,
"paper towels",3,1,
"papers",21,1,
"parapet",113,1,
"partial",1,1,
"partition",72,1,
"patio",1,1,
"patio chair",26,1,
"patio floor",6,1,
"pavement",4,1,
"payment terminal",2,1,
"pc tower",11,1,
"pedestal",2,1,
"pen",22,1,
"pen cup",4,1,
"pen drive",1,1,
"pencil",1,1,
"pencil case",1,1,
"pencil holder",1,1,
"pendant",1,1,
"perfume",15,1,
"pet bed",6,1,
"pet bowl",4,1,
"phone",6,1,
"photo",331,1,
"photo mount",138,1,
"photo mounts",1,1,
"photo stand",1,1,
"photos",2,1,
"piano",23,1,
"piano bench",5,1,
"piano stool",9,1,
"picture",4471,1,
"picture frame",86,1,
"pictures",1,1,
"pile of magazines",44,1,
"pillar",143,1,
"pillow",3841,1,
"pillow seat",1,1,
"ping pong table",1,1,
"pipe",449,1,
"pitcher",8,1,
"pitchfork",1,1,
"place mat",15,1,
"plane",2,1,
"plank",5,1,
"planner",1,1,
"plant",750,1,
"plant ornament",3,1,
"plastic bag",2,1,
"plate",235,1,
"plate of food",21,1,
"plates",11,1,
"platform",22,1,
"platter",1,1,
"playpen",1,1,
"plenum box",2,1,
"pliers",3,1,
"plug",6,1,
"plumbing",10,1,
"plunger",13,1,
"plush toy",132,1,
"podium",4,1,
"pole",1,1,
"poles",1,1,
"pool",2,1,
"pool stick",9,1,"rec room"
"pool table",8,1,"rec room"
"porcelain",24,1,
"portrait",6,1,
"post",3,1,
"poster",53,1,
"pot",177,1,
"pot lid",1,1,
"potty",1,1,
"pouches",1,1,
"pouffe",86,1,
"powder soap",1,1,
"power breaker box",1,1,
"power cord",1,1,
"power strip",2,1,
"press",1,1,
"pressure washer",1,1,
"price tag",50,1,
"printer",102,1,
"product",300,1,
"product box",18,1,
"product boxes",5,1,
"products",24,1,
"projector",7,1,
"projector screen",1,1,
"prop",1,1,
"pump",2,1,
"punchbag",3,1,
"puppet",3,1,
"purse",6,1,
"rack",284,1,
"rack of weights",3,1,"rec room"
"rack with shoes",2,1,
"radiator",352,1,
"radio",45,1,
"rafter",37,1,
"rag",1,1,
"ragdoll",2,1,
"ragdoll cat",1,1,
"rail",25,1,
"railing",87,1,
"rake",3,1,
"range hood",38,1,
"receipt printer",2,1,
"receipt spike",1,1,
"recessed cubby",11,1,
"recessed shelving",2,1,
"recessed wall",19,1,
"recliner",1,1,"living room"
"record player",13,1,
"records",1,1,
"recuperator",2,1,
"recycle bin",20,1,
"refrigerator",188,1,"kitchen"
"refrigerator cabinet",21,1,"kitchen"
"relief",4,1,
"remote control",74,1,"living room"
"rice cooker",1,1,
"riser",1,1,
"robe",16,1,
"rock",3,1,
"rocking chair",20,1,
"rocking horse",3,1,
"rod",11,1,
"rods",1,1,
"roll",3,1,
"rolled carpet",2,1,
"rolling pin",1,1,
"roof",32,1,
"roomba",2,1,
"rope",14,1,
"round chair",2,1,
"round cushion",1,1,
"router",2,1,
"row of theater chairs",1,1,
"rug",589,1,
"ruler",1,1,
"safe",6,1,
"salt and pepper",2,1,
"salt and pepper grinder",1,1,
"salver",1,1,
"sandals",3,1,
"saturator",2,1,
"sauna",1,1,
"sauna bowl",5,1,
"sauna heat rocks",1,1,
"sauna heater",4,1,
"sauna oven",1,1,
"sauna seat",2,1,
"sauna support",4,1,
"saw",6,1,
"saxophone",3,1,
"scale",30,1,
"scanner",1,1,
"scarf",6,1,
"schedule",3,1,
"sconce",18,1,
"scoop",4,1,
"screen",25,1,
"screen frame",1,1,
"screw box",1,1,
"screwdriver",3,1,
"sculpture",65,1,
"seat",66,1,
"secretary",1,1,
"security camera",15,1,
"security detector",1,1,
"self-closing mechanism",1,1,
"sensor",138,1,
"separator",11,1,
"set of armchairs",3,1,
"set of boxes",1,1,
"set of cosmetics",1,1,
"set of hangers",4,1,
"set of knives",1,1,
"set of pictures",1,1,
"set of towels",2,1,
"set of valves",1,1,
"sewing box",1,1,
"sewing machine",8,1,
"sewing set",1,1,
"sewing tools",1,1,
"shade",44,1,
"shade rail",4,1,
"shades",8,1,
"shampoo",85,1,
"sheet",22,1,
"sheet music",1,1,
"sheet music stand",1,1,
"sheets",1,1,
"sheets / clothes",8,1,
"shelf",1408,1,
"shelf / cabinet",7,1,
"shelf clutter",6,1,
"shelf cubby",9,1,
"shelf with art",5,1,
"shelf with clutter",66,1,
"shelf with cosmetics",3,1,
"shelf with shoes",1,1,
"shelving",149,1,
"ship model",1,1,
"ship toy",1,1,
"shirt",13,1,
"shisha",6,1,
"shoe",761,1,
"shoe cabinet",1,1,
"shoe case",21,1,
"shoe rack",9,1,
"shoe shelf",2,1,
"shoehorn",1,1,
"shoes",3,1,
"shoes on shelf",2,1,
"shoes rack",1,1,
"shop shelf",6,1,
"shoulder bag",1,1,
"shovel",19,1,
"shower",38,1,"bathroom"
"shower bar",35,1,"bathroom"
"shower base",4,1,"bathroom"
"shower battery",8,1,"bathroom"
"shower bench",21,1,"bathroom"
"shower cabin",106,1,"bathroom"
"shower cabinet",2,1,"bathroom"
"shower caddy",16,1,"bathroom"
"shower case",1,1,"bathroom"
"shower ceiling",32,1,"bathroom"
"shower ceiling lamp",1,1,"bathroom"
"shower cockpit",7,1,"bathroom"
"shower cosmetics",1,1,"bathroom"
"shower curtain",106,1,"bathroom"
"shower curtain bar",8,1,"bathroom"
"shower curtain rod",19,1,"bathroom"
"shower dial",75,1,"bathroom"
"shower door",15,1,"bathroom"
"shower door frame",39,1,"bathroom"
"shower door knob",1,1,"bathroom"
"shower floor",143,1,"bathroom"
"shower frame",4,1,"bathroom"
"shower glass",7,1,"bathroom"
"shower grab bar",1,1,"bathroom"
"shower handle",25,1,"bathroom"
"shower handrail",1,1,"bathroom"
"shower hanger",1,1,"bathroom"
"shower hose",36,1,"bathroom"
"shower hose/head",42,1,"bathroom"
"shower knob",49,1,"bathroom"
"shower mat",6,1,"bathroom"
"shower mirror",1,1,"bathroom"
"shower pipe",9,1,"bathroom"
"shower rail",27,1,"bathroom"
"shower rod",14,1,"bathroom"
"shower seat",10,1,"bathroom"
"shower shelf",22,1,"bathroom"
"shower soap shelf",33,1,"bathroom"
"shower stall",7,1,"bathroom"
"shower step",4,1,"bathroom"
"shower tap",43,1,"bathroom"
"shower tray",7,1,"bathroom"
"shower tub",19,1,"bathroom"
"shower utensil",2,1,"bathroom"
"shower valve",10,1,"bathroom"
"shower wall",461,1,"bathroom"
"shower wall cubby",13,1,"bathroom"
"shower window frame",1,1,"bathroom"
"shower-bath cabinet",14,1,"bathroom"
"showerhead",83,1,"bathroom"
"shredder",1,1,
"shutter",29,1,
"shutters",13,1,
"side table",126,1,
"sideboard",12,1,
"sign",115,1,
"silicone gun",1,1,
"silicone tube",6,1,
"sink",739,1,
"sink cabinet",119,1,
"sink pipe",7,1,
"sink table",1,1,
"sink tap",1,1,
"sink/basin",1,1,
"sitting bench",7,1,
"skateboard",2,1,
"skates",1,1,
"ski",2,1,
"skirting board",1,1,
"sky",2,1,
"skylight",3,1,
"slab",2,1,
"sled",1,1,
"sledge",1,1,
"sleeping bag",2,1,
"sliding door",37,1,
"sliding glass door",26,1,
"slippers",7,1,
"small table/stand",14,1,
"smoke alarm",23,1,
"smoke detector",132,1,
"snack",28,1,
"soap",65,1,
"soap bottle",51,1,
"soap dish",23,1,
"soap dish cubby",3,1,
"soap dispenser",113,1,
"soap dispenser shelf in shower",1,1,
"soap tray",1,1,
"soapbox",3,1,
"socket",19,1,
"socks",3,1,
"sofa",159,1,"living room"
"sofa chair",73,1,"living room"
"sofa seat",26,1,"living room"
"sofa set",5,1,"living room"
"soft chair",1,1,
"solarium",3,1,
"solarium door",1,1,
"sombrero",1,1,
"soundbar",2,1,
"spa armchair",1,1,
"spa bathtub",1,1,
"spa bench",7,1,
"spatula",1,1,
"speaker",233,1,
"speaker stand",3,1,
"spice boxes",1,1,
"spice rack",18,1,
"spices",2,1,
"spirit level",1,1,
"sponge",3,1,
"spoon",5,1,
"spray",1,1,
"spray can",1,1,
"sprinkler",12,1,
"square",1,1,
"stack",2,1,
"stack of albums",1,1,
"stack of bags",1,1,
"stack of binders",1,1,
"stack of blankets",2,1,
"stack of books",51,1,
"stack of books / papers",1,1,
"stack of boxes",2,1,
"stack of cds",7,1,
"stack of chairs",5,1,
"stack of clothes",28,1,
"stack of files",2,1,
"stack of jackets",1,1,
"stack of magazines",5,1,
"stack of music stands",1,1,
"stack of papers",159,1,
"stack of pillows",1,1,
"stack of plates",7,1,
"stack of pots",1,1,
"stack of product boxes",3,1,
"stack of shoes",3,1,
"stack of stuff",2,1,
"stack of t-shirts",1,1,
"stack of towels",22,1,
"stack of trays",1,1,
"stack of yarns",1,1,
"stacked chair",4,1,
"stage",3,1,
"stained glass",4,1,
"stair",20,1,"hall/stairwell"
"stair frame",1,1,"hall/stairwell"
"stair handle",5,1,"hall/stairwell"
"stair step",100,1,"hall/stairwell"
"stair wall",15,1,"hall/stairwell"
"staircase",4,1,"hall/stairwell"
"staircase handrail",61,1,"hall/stairwell"
"staircase trim",19,1,"hall/stairwell"
"staircase wall",1,1,"hall/stairwell"
"stairs",731,1,"hall/stairwell"
"stairs railing",106,1,"hall/stairwell"
"stairs skirt",1,1,"hall/stairwell"
"stairs trim",3,1,"hall/stairwell"
"stairs wall",2,1,"hall/stairwell"
"stairwell",1,1,"hall/stairwell"
"stand",99,1,
"stand/small table",4,1,
"stapler",3,1,
"star",6,1,
"stationery",23,1,
"statue",62,1,
"statue/art",8,1,
"steel plate",1,1,
"step",77,1,
"step stool",7,1,
"stereo",2,1,
"stereo set",2,1,
"stick",15,1,
"sticker book",2,1,
"sticky notes",1,1,
"stole",1,1,
"stone",5,1,
"stone bench",1,1,
"stone support structure",17,1,
"stones",1,1,
"stonework",4,1,
"stool",320,1,
"stools",1,1,
"storage",10,1,
"storage bin",68,1,
"storage box",293,1,
"storage cabinet",33,1,
"storage shelving",17,1,
"storage space",3,1,
"storage unit",2,1,
"stove",88,1,"kitchen"
"stovetop",24,1,"kitchen"
"strings",65,1,
"stroke",1,1,
"strongbox",1,1,
"stuffed animal",81,1,
"subwoofer",1,1,
"sunbed",37,1,
"support",4,1,
"support beam",265,1,
"surface",19,1,
"surfboard",4,1,
"swing",3,1,
"switch",34,1,
"swivel chair",1,1,
"t-shirt",1,1,
"table",1304,1,
"table cloth",33,1,
"table lamp",199,1,
"table pad",8,1,
"table stand",6,1,
"table tennis table",1,1,
"tablet",9,1,
"tambourine",1,1,
"tank",18,1,
"tap",627,1,
"tapestry",1,1,
"tea set",1,1,
"teapot",33,1,
"telephone",148,1,
"telescope",3,1,
"tennis racket",1,1,
"tent",1,1,
"terrace",1,1,
"thermometer",2,1,
"thermostat",24,1,
"three",1,1,
"throw blanket",46,1,
"tile",8,1,
"tiles",16,1,
"tire",9,1,
"tissue",10,1,
"tissue box",106,1,
"title",1,1,
"toaster",54,1,
"toaster oven",1,1,
"toilet",561,1,"bathroom"
"toilet brush",148,1,"bathroom"
"toilet brush holder",27,1,"bathroom"
"toilet cleaner",10,1,"bathroom"
"toilet paper",425,1,"bathroom"
"toilet paper dispenser",114,1,"bathroom"
"toilet seat",2,1,"bathroom"
"toiletry",9,1,
"toiletry bag",2,1,
"tool",100,1,
"tool box",67,1,
"tool rack",3,1,
"toothbrush",15,1,"bathroom"
"toothpaste",2,1,"bathroom"
"torch",1,1,
"towel",1089,1,
"towel bar",255,1,
"towel ring",18,1,
"toy",665,1,
"traffic cone",1,1,
"training mat",1,1,
"trampoline",1,1,
"trash bag",11,1,
"trash can",70,1,
"trashcan",315,1,
"tray",151,1,
"treadmill",10,1,
"tree",5,1,
"tree branch",5,1,
"trimmer",1,1,
"trinket",5,1,
"tripod",1,1,
"trolley",4,1,
"trombone",2,1,
"trophy",26,1,
"trough",1,1,
"trumpet",2,1,
"tv",394,1,
"tv remote",17,1,
"tv stand",60,1,
"typewriter",4,1,
"ukulele",7,1,
"umbrella",38,1,
"umbrella stand",1,1,
"unknown",5970,1,
"unknown/remove",4,1,
"urinal",7,1,
"utensil",21,1,
"vacuum cleaner",71,1,
"vanity",2,1,
"vase",430,1,
"vegetables",1,1,
"vent",251,1,
"ventilation",338,1,
"ventilation hood",96,1,
"vessel",33,1,
"vessel sink",3,1,
"vinyl records",1,1,
"violin",9,1,
"violin case",1,1,
"waffle iron",1,1,
"wall",25036,1,
"wall /outside",14,1,
"wall beam",4,1,
"wall board",75,1,
"wall cabinet",60,1,
"wall clock",86,1,
"wall control",14,1,
"wall cubby",4,1,
"wall detail",5,1,
"wall electronics",128,1,
"wall hanger",19,1,
"wall hanging decoration",442,1,
"wall indent",6,1,
"wall lamp",491,1,
"wall outside",1,1,
"wall panel",116,1,
"wall panel frame",1,1,
"wall post",3,1,
"wall shelf",7,1,
"wall sign",35,1,
"wall soap shelf",10,1,
"wall statue",4,1,
"wall toilet paper",24,1,"bathroom"
"wall top",10,1,
"wall tv",28,1,
"wardrobe",447,1,"bedroom"
"wash cabinet",73,1,
"washbasin",146,1,
"washbasin counter",15,1,
"washcloth",7,1,
"washer-dryer",25,1,"laundry room"
"washing machine",140,1,"laundry room"
"washing machine and dryer",10,1,"laundry room"
"washing powder",17,1,"laundry room"
"washing stuff",56,1,"laundry room"
"watch",10,1,
"water basin",2,1,
"water dispenser",7,1,
"water fountain",1,1,
"water heater",4,1,
"water meter",1,1,
"water outlet",1,1,
"water pump",2,1,
"water tank",4,1,
"watering can",6,1,
"weight",13,1,
"weight bench",4,1,"rec room"
"weights",2,1,
"wheel",10,1,
"wheelbarrow",2,1,
"whine shelf",1,1,
"whiteboard",12,1,
"wifi router",3,1,
"window",3189,1,
"window /otherroom",3,1,
"window /outside",11,1,
"window curtain",308,1,
"window frame",2180,1,
"window frame /otherroom",1,1,
"window glass",223,1,
"window seat",1,1,
"window shade",98,1,
"window shutter",99,1,
"window shutters",21,1,
"window valence",1,1,
"window/door",4,1,
"wine",3,1,
"wine bottle",18,1,
"wine cabinet",4,1,
"wine rack",14,1,
"wine storage",1,1,
"wire",3,1,
"wood",36,1,
"workout bike",4,1,
"workstation",1,1,
"worktop",25,1,
"wreath",10,1,
"wrench",1,1,
"yoga mat",7,1,"rec room"
